Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Abbey Griffin",12,42612,Common,ISD,1/264,No
"Abattoir Ghoul",4,42418,Uncommon,ISD,85/264,No
"Abhorrent Overlord",4,50400,Rare,THS,75/249,No
"Abundant Growth",12,43905,Common,AVR,167/244,No
"Abzan Banner",3,54060,Common,KTK,215/269,No
"Abzan Guide",1,54136,Common,KTK,162/269,No
"Acidic Slime",9,45286,Uncommon,M13,159/249,No
"Act of Treason",6,47609,Common,GTC,85/249,No
"Adaptive Snapjaw",1,47571,Common,GTC,113/249,No
"Addle",1,52869,Common,VMA,103/325,No
"Aerial Maneuver",3,47873,Common,GTC,1/249,No
"Aerial Predation",1,46355,Common,RTR,113/274,No
"Aerie Worshippers",1,51669,Uncommon,BNG,30/165,No
"Æther Adept",12,41299,Common,M12,41/249,No"Afflicted Deserter",1,43329,Uncommon,DKA,81/158,No
"Aftershock",1,52661,Common,VMA,149/325,No
"Agent of Horizons",4,50436,Common,THS,148/249,No
"Aggravate",5,44211,Uncommon,AVR,125/244,No
"Agoraphobia",1,47877,Uncommon,GTC,30/249,No
"Ainok Tracker",1,54020,Common,KTK,96/269,No
"Ajani's Presence",2,52202,Common,JOU,2/165,No
"Ajani's Sunstriker",7,45490,Common,M13,2/249,No
"Akroan Crusader",1,50496,Common,THS,111/249,No
"Akroan Horse",1,50390,Rare,THS,210/249,No
"Akroan Phalanx",1,51759,Uncommon,BNG,2/165,No
"Akroan Skyguard",3,51572,Common,BNG,3/165,Yes
"Alabaster Mage",4,41447,Uncommon,M12,2/249,No
"Alarum",1,6771,Common,MI,2/350,No
"Alchemist's Apprentice",7,43929,Common,AVR,42/244,No
"Alms",1,9249,Common,WL,3/167,No
"Alpha Authority",1,47623,Uncommon,GTC,114/249,No
"Alpha Status",1,18666,Uncommon,SCG,110/143,No
"Alpine Grizzly",2,54036,Common,KTK,127/269,No
"Altar of the Lost",1,43415,Uncommon,DKA,144/158,No
"Altar's Reap",10,42464,Common,ISD,86/264,No
"Amass the Components",13,44179,Common,AVR,43/244,No
"Ambush Viper",16,42322,Common,ISD,169/264,No
"Amphin Cutthroat",9,41415,Common,M12,43/249,No
"Anafenza, the Foremost",1,54248,Mythic Rare,KTK,163/269,No
"Ancient Den",4,20015,Common,MRD,278/306,No
"Ancient Grudge",19,42618,Common,ISD,127/264,No
"Ancient Spring",4,14707,Common,IN,319/350,No
"Ancient Stirrings",4,36374,Common,ROE,174/248,No
"Ancient Ziggurat",1,35336,Uncommon,H09,31/41,Yes
"Angelic Armaments",1,43985,Uncommon,AVR,212/244,No
"Angelic Benediction",6,45270,Uncommon,M13,4/249,No
"Angelic Edict",1,47501,Common,GTC,2/249,No
"Angelic Renewal",1,9253,Common,WL,4/167,No
"Angelic Wall",6,44255,Common,AVR,4/244,No
"Angel's Feather",6,41599,Uncommon,M12,202/249,No
"Angel's Mercy",23,45306,Common,M13,3/249,No
"Angel's Tomb",2,43965,Uncommon,AVR,211/244,No
"Anger of the Gods",2,50578,Rare,THS,112/249,No
